"id","user_id","title","category","design_colors","logo_url","created_at","structure","is_active","is_locked","language","owner_id","is_published","default_locale","updated_at","form_token","brand_logo_url","brand_primary","brand_accent","brand_background","owner","public_token","meta","status","published_at","slug","default_lang","partner_id","token","code"
"55d2dce3-4e30-440a-b5c4-f2b472fede74","ae470d3c-3d84-4413-91c3-8787a8643f47","שאלון ללא כותרת","real_estate","{""status"":""draft"",""language"":""he"",""company_name"":""gil"",""primary_color"":""#169a9c"",""secondary_color"":""#ff7300""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-20T14:26:46.918548",,true,false,"he","ae470d3c-3d84-4413-91c3-8787a8643f47",true,"he","2025-08-27T08:35:02.505045+00:00","c4cd876034fbd53448f7b19a",,"#2563eb","#f59e0b","#ffffff",,"e0a61da8a22c4c38987d3cddd765e045","{}","draft","2025-08-20T14:27:14.874+00:00","שאלון-ללא-כותרת","he",,"98c4452f63a4246d","45eb37a75cad51d0"
"10000000-0000-0000-0000-000000000002",,"Business Coaching Survey","coach","{""main"":""#fa7700"",""secondary"":""#fffbe8""}","https://yourdomain.com/coachlogo.png","2025-08-04T09:37:56.841747",,true,false,"he",,true,"he","2025-08-27T08:35:02.505045+00:00","f_b96d8c68110de69f01aa80caf47d383f",,"#2563eb","#f59e0b","#ffffff","00000000-0000-0000-0000-000000000002","d89e27993da8252cbb72ddc49e484ca7","{}","draft",,"business-coaching-survey","he",,"5684e142b49a06f0","41aee92b5f99d685"
"d09fb9d2-e545-432b-9ced-11f4d634e75a","2ba91821-68f4-45c3-baeb-043fbb369e97","ניסיון נוסף ","real_estate","{""primary"":""#16939B"",""secondary"":""#FFD500"",""background"":""#FFD500""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-24T13:08:15.344488",,true,false,"he","2ba91821-68f4-45c3-baeb-043fbb369e97",false,"he","2025-08-27T08:35:02.505045+00:00","ea04945c6395e5cd1fc46dcc",,"#2563eb","#f59e0b","#ffffff",,"ba2c5808d21f1fd55a110084",,"draft",,,"he",,"95b404cc8934e5a7","da167c4c6f6086f5"
"d6ccb629-ef02-4f6c-9d2d-9bdd5ad71692","81a07f63-158d-4dc2-a903-4c2c859b105f","ג","כללי","{""primary"":""#3B82F6"",""secondary"":""#6B7280""}",,"2025-08-13T23:02:11.920985",,true,false,"he","ae470d3c-3d84-4413-91c3-8787a8643f47",true,"he","2025-08-27T08:35:02.505045+00:00","bd24a43cf974d0f331827818",,"#2563eb","#f59e0b","#ffffff",,"c5d8bea7-0234-4893-9d6b-92733845af44","{}","draft",,"ג","he",,"67a6b9da7e9a77a1","2bd468346a13fc94"
"93e24be6-5b50-4729-8267-b0ad0f789249",,"טסט נדל״ן",,,,"2025-08-25T12:16:59.044959",,true,false,"he",,true,"he","2025-08-27T08:35:02.505045+00:00","2177925fc538117105a0bb6b",,"#2563eb","#f59e0b","#ffffff",,,,"draft",,,"he",,"dd77249b1a51ec62","aafa4a20151dff91"
"52a81ee4-b28f-462c-b88f-daefc07507a6","ae470d3c-3d84-4413-91c3-8787a8643f47","ב","real_estate","{""status"":""draft"",""language"":""he"",""company_name"":""gil"",""primary_color"":""#169a9c"",""secondary_color"":""#ff7300""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-21T12:51:32.216852",,true,false,"he","ae470d3c-3d84-4413-91c3-8787a8643f47",true,"he","2025-08-27T08:35:02.505045+00:00","52a81ee4-b28f-462c-b88f-daefc07507a6_b92b0f31",,"#2563eb","#f59e0b","#ffffff",,"52a81ee4-b28f-462c-b88f-daefc07507a6_3f8c1701","{}","draft",,"","he",,"fa797609a1aa6889","d4d1d60d5e9663c3"
"65a5c238-e31c-45fc-a0f2-709e5fb1451e","ae470d3c-3d84-4413-91c3-8787a8643f47","ב","real_estate","{""status"":""draft"",""language"":""he"",""company_name"":""gil"",""primary_color"":""#169a9c"",""secondary_color"":""#ff7300""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-23T12:38:35.607415",,true,false,"he","ae470d3c-3d84-4413-91c3-8787a8643f47",true,"he","2025-08-27T08:35:02.505045+00:00","65a5c238-e31c-45fc-a0f2-709e5fb1451e_928bbe4c",,"#2563eb","#f59e0b","#ffffff",,"65a5c238-e31c-45fc-a0f2-709e5fb1451e_1163f867","{}","draft",,"","he",,"bfe5aeb0cc91a79f","4f046c36bed75190"
"75be4fe3-3b80-4cfa-9480-78af0ecafdaf","2ba91821-68f4-45c3-baeb-043fbb369e97","ניסיון נוסף ","real_estate","{""status"":""draft"",""language"":""he"",""company_name"":""gil "",""primary_color"":""#16939B"",""secondary_color"":""#FFD500""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-24T10:39:50.794285",,true,false,"he","2ba91821-68f4-45c3-baeb-043fbb369e97",false,"he","2025-08-27T08:35:02.505045+00:00","6e37f0d2f806c4947eafac3e",,"#2563eb","#f59e0b","#ffffff",,"q_c62f4444f4fa6bc89791e639c088e99a",,"draft",,,"he",,"7fbfe81959635408","3fbd29f7923ef7ef"
"5a8bd0ac-5695-4439-b336-a105e1afbb54","2ba91821-68f4-45c3-baeb-043fbb369e97","ב","real_estate","{""primary"":""#16939B"",""secondary"":""#FFD500"",""background"":""#FFD500""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-24T12:29:46.520471",,true,false,"he","2ba91821-68f4-45c3-baeb-043fbb369e97",false,"he","2025-08-27T08:35:02.505045+00:00","3e97a9b0e0273dcd6c1d75e2",,"#2563eb","#f59e0b","#ffffff",,"58d373f18a716c5cf99110f5",,"draft",,,"he",,"44588701bff43955","c5f093eb239af57c"
"5ba371d0-7615-4d17-8b1c-f7e12d576974","ae470d3c-3d84-4413-91c3-8787a8643f47","שאלון ללא כותרת","real_estate","{""status"":""draft"",""language"":""he"",""company_name"":""gil"",""primary_color"":""#169a9c"",""secondary_color"":""#ff7300""}","https://lcazbaggfdejukjgkpeu.supabase.co/storage/v1/object/public/branding/branding/ae470d3c-3d84-4413-91c3-8787a8643f47/logo-1755111853450.webp","2025-08-24T20:01:06.785103",,true,false,"he","ae470d3c-3d84-4413-91c3-8787a8643f47",false,"he","2025-08-27T08:35:02.505045+00:00","a9eb0111e56582972a70f863",,"#2563eb","#f59e0b","#ffffff",,"ae639ec99cefad3403cfe95e",,"draft",,,"he",,"d487e2e0bf1761de","51467f8c7d3fb06c"
